Id,ActivityHour,totalSteps,Calories,TotalIntensity,AverageIntensity
4445114986,2016-03-14 20:00:00,3440,308,92,1.533333
6775888955,2016-04-07 13:00:00,1869,308,63,1.05
6775888955,2016-04-08 17:00:00,1015,307,87,1.45
5577150313,2016-03-16 06:00:00,1277,306,81,1.35
6775888955,2016-04-07 12:00:00,1630,306,83,1.383333
1644430081,2016-04-09 21:00:00,2480,305,86,1.433333
5577150313,2016-03-12 19:00:00,1346,305,65,1.083333
6290855005,2016-03-28 11:00:00,311,305,78,1.3
6775888955,2016-04-05 14:00:00,1647,305,70,1.166667
8053475328,2016-03-24 19:00:00,3029,305,74,1.233333
1503960366,2016-03-26 16:00:00,5564,304,149,2.483333
1644430081,2016-03-22 19:00:00,2573,304,85,1.416667
5577150313,2016-03-19 15:00:00,1146,304,77,1.283333
6775888955,2016-04-05 19:00:00,948,304,83,1.383333
7086361926,2016-03-17 13:00:00,3984,304,101,1.683333
8378563200,2016-04-08 12:00:00,2377,304,56,0.933333
8877689391,2016-03-28 12:00:00,3334,304,85,1.416667
6290855005,2016-03-22 11:00:00,2721,303,74,1.233333
7007744171,2016-04-02 10:00:00,3194,303,94,1.566667
8053475328,2016-04-06 14:00:00,2950,303,79,1.316667
1644430081,2016-03-12 19:00:00,2494,302,83,1.383333
6775888955,2016-03-27 16:00:00,2068,302,69,1.15
8053475328,2016-04-08 14:00:00,2904,302,65,1.083333
8583815059,2016-03-29 12:00:00,2472,302,81,1.35
8877689391,2016-04-08 21:00:00,1808,302,75,1.25
5577150313,2016-03-26 14:00:00,1244,301,80,1.333333
6775888955,2016-03-18 20:00:00,1766,301,81,1.35
1644430081,2016-03-16 19:00:00,2522,300,79,1.316667
6775888955,2016-04-05 16:00:00,739,300,73,1.216667
7086361926,2016-04-09 10:00:00,992,300,74,1.233333
7086361926,2016-04-06 17:00:00,3638,300,100,1.666667
1503960366,2016-03-27 10:00:00,5033,299,126,2.1
1644430081,2016-04-07 21:00:00,2488,299,73,1.216667
6775888955,2016-03-27 13:00:00,1197,299,71,1.183333
2022484408,2016-04-04 16:00:00,3118,298,87,1.45
1927972279,2016-03-28 16:00:00,2640,297,78,1.3
5577150313,2016-03-17 12:00:00,1674,297,67,1.116667
6290855005,2016-03-27 12:00:00,2450,297,78,1.3
8378563200,2016-03-20 13:00:00,2165,297,65,1.083333
8877689391,2016-03-14 12:00:00,2931,297,79,1.316667
1927972279,2016-03-22 10:00:00,2641,296,78,1.3
4020332650,2016-04-02 13:00:00,914,296,55,0.916667
6290855005,2016-03-27 10:00:00,527,296,45,0.75
8053475328,2016-04-07 20:00:00,3201,296,81,1.35
1503960366,2016-03-20 10:00:00,5000,294,113,1.883333
4445114986,2016-04-07 17:00:00,3264,294,88,1.466667
6775888955,2016-04-06 09:00:00,1218,294,73,1.216667
6962181067,2016-03-26 11:00:00,3765,294,117,1.95
7007744171,2016-04-07 10:00:00,2530,294,92,1.533333
8253242879,2016-04-08 11:00:00,4317,294,82,1.366667
4702921684,2016-03-27 15:00:00,2310,293,89,1.483333
6775888955,2016-03-26 22:00:00,978,292,59,0.983333
6962181067,2016-04-07 08:00:00,3907,292,116,1.933333
7007744171,2016-04-12 07:00:00,3855,292,109,1.816667
8053475328,2016-03-19 15:00:00,2777,292,76,1.266667
1644430081,2016-03-15 20:00:00,2334,291,73,1.216667
1644430081,2016-04-05 21:00:00,2336,291,69,1.15
5577150313,2016-03-27 18:00:00,1090,291,80,1.333333
6962181067,2016-04-05 06:00:00,3684,291,117,1.95
8053475328,2016-03-15 19:00:00,2970,291,74,1.233333
4702921684,2016-03-27 12:00:00,2262,290,67,1.116667
4702921684,2016-04-03 15:00:00,2252,290,77,1.283333
7007744171,2016-03-31 08:00:00,3601,290,110,1.833333
1644430081,2016-03-20 13:00:00,2278,289,55,0.916667
4702921684,2016-03-26 12:00:00,2320,289,82,1.366667
8053475328,2016-04-09 20:00:00,2680,289,64,1.066667
8053475328,2016-03-31 19:00:00,2710,289,63,1.05
5577150313,2016-03-14 18:00:00,998,288,58,0.966667
5577150313,2016-03-19 10:00:00,1246,288,69,1.15
5577150313,2016-03-23 11:00:00,1009,287,69,1.15
6775888955,2016-03-26 08:00:00,1144,287,75,1.25
7007744171,2016-03-25 07:00:00,2892,287,93,1.55
1644430081,2016-03-12 21:00:00,2304,286,79,1.316667
4020332650,2016-04-04 16:00:00,1470,286,63,1.05
5577150313,2016-03-18 20:00:00,696,286,75,1.25
5577150313,2016-03-20 09:00:00,1375,286,75,1.25
8053475328,2016-03-29 18:00:00,2676,285,68,1.133333
1644430081,2016-03-12 20:00:00,2339,284,75,1.25
2022484408,2016-03-13 19:00:00,3929,284,103,1.716667
4020332650,2016-04-01 13:00:00,891,284,46,0.766667
6775888955,2016-03-12 08:00:00,1825,284,82,1.366667
1644430081,2016-03-16 21:00:00,2164,283,82,1.366667
5577150313,2016-03-31 16:00:00,542,283,64,1.066667
6775888955,2016-04-07 08:00:00,1594,283,76,1.266667
1644430081,2016-03-29 21:00:00,1984,282,67,1.116667
5577150313,2016-03-13 09:00:00,1229,282,72,1.2
7007744171,2016-03-23 07:00:00,3423,282,98,1.633333
8053475328,2016-03-24 14:00:00,2647,282,65,1.083333
8583815059,2016-03-31 15:00:00,2449,282,74,1.233333
8877689391,2016-03-22 12:00:00,2348,282,64,1.066667
5577150313,2016-03-19 17:00:00,1814,281,70,1.166667
7086361926,2016-04-07 18:00:00,1331,281,84,1.4
2347167796,2016-03-12 08:00:00,3298,280,92,1.533333
5577150313,2016-03-12 16:00:00,1140,280,79,1.316667
5577150313,2016-04-09 17:00:00,1190,280,69,1.15
6775888955,2016-03-18 22:00:00,1265,280,53,0.883333
6775888955,2016-03-26 17:00:00,1727,280,67,1.116667
7007744171,2016-03-17 08:00:00,2625,280,88,1.466667
7007744171,2016-04-04 09:00:00,2158,280,74,1.233333
7007744171,2016-03-30 16:00:00,2306,280,52,0.866667
8877689391,2016-04-01 18:00:00,2440,280,50,0.833333
8877689391,2016-03-19 22:00:00,2467,280,58,0.966667
4445114986,2016-04-11 18:00:00,3099,279,83,1.383333
6775888955,2016-03-28 14:00:00,1035,279,63,1.05
6775888955,2016-03-21 12:00:00,1373,279,63,1.05
3372868164,2016-04-02 11:00:00,2784,278,99,1.65
1644430081,2016-03-15 21:00:00,2018,277,63,1.05
4020332650,2016-04-09 18:00:00,1874,277,58,0.966667
1644430081,2016-03-31 22:00:00,2170,276,64,1.066667
2022484408,2016-03-19 12:00:00,3356,276,97,1.616667
4057192912,2016-03-14 05:00:00,2780,276,82,1.366667
4558609924,2016-04-05 18:00:00,4145,276,116,1.933333
7007744171,2016-03-24 10:00:00,2488,276,77,1.283333
8378563200,2016-03-18 18:00:00,2029,276,55,0.916667
8877689391,2016-03-24 11:00:00,1632,276,54,0.9
8877689391,2016-03-17 19:00:00,501,276,62,1.033333
